Villa, Date,Forecast,CI Lower (30%),CI Upper (30%)
Matahari, 2025-11-01,109327945.78750016,76529562.05125012,142126329.52375022
Matahari, 2025-12-01,92837523.62232167,64986266.53562517,120688780.70901817
Matahari, 2026-01-01,145400127.45788807,101780089.22052166,189020165.69525447
Matahari, 2026-02-01,156229464.77165112,109360625.34015578,203098304.20314646
Reina, 2025-03-01,48373806.635964036,33861664.64517482,62885948.62675325
Reina, 2025-04-01,45109147.25621771,31576403.079352397,58641891.43308303
Reina, 2025-05-01,51286429.235274956,35900500.46469247,66672358.00585744
Reina, 2025-06-01,59663593.194325365,41764515.236027755,77562671.15262297
Reina, 2025-07-01,69936126.77648747,48955288.743541226,90916964.80943371
Reina, 2025-08-01,76171140.34409532,53319798.24086672,99022482.44732392
Reina, 2025-09-01,72192398.87347591,50534679.21143314,93850118.53551868
Reina, 2025-10-01,62469313.61791854,43728519.53254298,81210107.7032941
Reina, 2025-11-01,54072231.9769407,37850562.38385849,70293901.57002291
Reina, 2025-12-01,55171314.453094825,38619920.11716638,71722708.78902328
Reina, 2026-01-01,40473975.75284104,28331783.02698873,52616168.47869335
Reina, 2026-02-01,41958030.12110884,29370621.084776185,54545439.15744149
Talia Vashti, 2025-03-01,36470788.83550964,25529552.18485675,47412025.486162536
Talia Vashti, 2025-04-01,33437884.236781903,23406518.965747334,43469249.50781647
Talia Vashti, 2025-05-01,37643879.8006006,26350715.86042042,48937043.740780786
Talia Vashti, 2025-06-01,42520203.842188984,29764142.689532287,55276264.99484568
Talia Vashti, 2025-07-01,47090364.51233174,32963255.15863222,61217473.86603126
Talia Vashti, 2025-08-01,49050666.767281584,34335466.73709711,63765866.79746606
Talia Vashti, 2025-09-01,34979777.35678856,24485844.14975199,45473710.56382513
Talia Vashti, 2025-10-01,37823577.48667476,26476504.240672335,49170650.73267719
Talia Vashti, 2025-11-01,32364341.519779943,22655039.063845962,42073643.97571392
Talia Vashti, 2025-12-01,46350328.236989245,32445229.765892472,60255426.708086014
Talia Vashti, 2026-01-01,35001050.88528068,24500735.61969648,45501366.150864884
Talia Vashti, 2026-02-01,19833029.79902927,13883120.859320488,25782938.73873805
The Backyard Bingin, 2025-03-01,198824907.3658178,139177435.15607244,258472379.57556313
The Backyard Bingin, 2025-04-01,205074441.56098616,143552109.09269032,266596774.029282
The Backyard Bingin, 2025-05-01,193184210.89816222,135228947.62871355,251139474.16761088
The Backyard Bingin, 2025-06-01,207575888.33089405,145303121.83162585,269848654.8301623
The Backyard Bingin, 2025-07-01,213585077.58140528,149509554.3069837,277660600.85582685
The Backyard Bingin, 2025-08-01,213659208.87978876,149561446.21585214,277756971.5437254
The Backyard Bingin, 2025-09-01,210133635.69204086,147093544.9844286,273173726.39965314
The Backyard Bingin, 2025-10-01,214306685.9090266,150014680.13631862,278598691.68173456
The Backyard Bingin, 2025-11-01,200071082.86321098,140049758.0042477,260092407.72217426
The Backyard Bingin, 2025-12-01,199446543.5015452,139612580.45108163,259280506.55200875
The Backyard Bingin, 2026-01-01,221768884.8828573,155238219.4180001,288299550.3477145
The Backyard Bingin, 2026-02-01,184267972.3011634,128987580.6108144,239548363.99151242
Istana Semer Expenses, 2025-03-01,159212537.64587367,111448776.35211158,206976298.93963575
Istana Semer Expenses, 2025-04-01,152481351.69313502,106736946.18519452,198225757.20107552
Istana Semer Expenses, 2025-05-01,154365672.81579575,108055970.97105703,200675374.66053447
